millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
5952,2,-0.091525,0.4666,10.053445,0.018479,0.038485,-0.018479,4.79392,38.892139,-0.496931
5999,2,-0.119043,0.433699,10.01516,0.018326,0.041844,-0.01909,4.340836,38.877521,-0.555393
6045,2,-0.065204,0.464208,10.006187,0.022144,0.033292,-0.018937,4.735457,38.848289,-0.102309
6091,2,-0.115454,0.412762,10.014561,0.021228,0.042302,-0.016646,4.370067,39.374454,-0.073078
6137,2,-0.074178,0.425922,10.010972,0.019548,0.041997,-0.021075,4.165449,38.877521,0.073078
6183,2,-0.120838,0.436092,10.028919,0.021533,0.041386,-0.019548,4.79392,38.731365,0.058462
6229,2,-0.093918,0.437288,9.988241,0.018937,0.03711,-0.017715,4.472376,38.994445,0.23385
6275,2,-0.101695,0.416351,10.015757,0.021686,0.038026,-0.017562,4.150833,39.257526,0.043847
6321,2,-0.114855,0.441476,10.033106,0.024282,0.037874,-0.021533,4.238527,38.804443,0.146156
6366,2,-0.101097,0.445663,10.032507,0.021533,0.03879,-0.020464,4.253142,39.637531,-0.350775
6412,2,-0.088534,0.411566,9.994222,0.021991,0.038026,-0.018173,4.735457,39.462146,-0.394621
6458,2,-0.112463,0.430708,9.988241,0.020464,0.035736,-0.020006,4.56007,39.535224,-0.146156
6504,2,-0.108275,0.434297,10.005588,0.022297,0.040012,-0.018173,4.779304,39.462146,-0.920783
6551,2,-0.097508,0.433699,10.039686,0.023976,0.042913,-0.020617,4.384683,38.892139,0.014616
6597,2,-0.135793,0.424128,10.170693,0.022297,0.038026,-0.018631,4.92546,38.541362,0.248465
6643,2,-0.095115,0.494118,9.987045,0.023366,0.037874,-0.020159,4.472376,38.526744,0.496931
6689,2,-0.106481,0.44327,9.809377,0.023824,0.043677,-0.017104,4.501607,38.599822,0.277697
6735,2,-0.114855,0.47677,9.981062,0.02138,0.000611,-0.018479,4.019292,39.082138,0.014616
6781,2,-0.105882,0.364307,10.130614,0.024282,0.036194,-0.01909,4.486992,38.409824,0.23385
6827,2,-0.092124,0.588036,9.919447,0.024129,0.041844,-0.014355,4.618533,38.892139,0.23385
6872,2,-0.108873,0.432503,9.836297,0.015882,0.042761,-0.021075,4.238527,38.716747,0.760012
6918,2,-0.129811,0.567099,9.994821,0.020617,0.037568,-0.01741,4.735457,39.052909,0.204619
6964,2,-0.126221,0.428913,10.085149,0.022755,0.037874,-0.018326,4.443145,38.073661,0.058462
7010,2,-0.080758,0.387039,9.929018,0.022297,0.037721,-0.020311,4.881614,38.395206,-0.043847
7056,2,-0.1334,0.385244,9.999606,0.026114,0.033903,-0.01909,4.472376,38.745983,-0.23385
7102,2,-0.092124,0.40678,10.212567,0.017257,0.041233,-0.01909,4.676995,38.541362,0.175387
7149,2,-0.096311,0.455235,9.893725,0.025198,0.035888,-0.018479,4.69161,38.409824,0.073078
